date,location,stream,temp,velocity,slope,k_600_3,k_600_3,Sch_CH4,Sch_N2O,k_CH4_3,k_N2O_3,k_CH4_5,k_CH4_5,CH4.eq3,N2O.eq3,CH4.eq5,N2O.eq5,
42489,HA,heath,11,0.156,1.461,320.7323032,649.529356,986.9679,997.8737,230.1661842,228.4861179,466.1198511,462.7174736,17580.13228,631.7354437,35602.31347,1279.355749,
42496,HA,heath,16.3,0.14,1.461,292.5469837,583.11814,740.0238923,732.9311679,254.3700433,256.0084683,507.0221017,510.2878861,22757.27845,486.5890659,45360.85697,969.8917675,
42510,HA,heath,17.7,0.153,1.461,315.4819456,637.077253,689.1494897,680.5197781,287.651329,290.0780337,580.8767222,585.7771561,7816.578533,1862.576931,15784.62555,3761.246598,
42489,HC,heath,7.7,0.079,1.461,179.874592,329.925379,1195.25766,1231.418188,113.6134196,111.3782217,208.3893568,204.2895642,424.0400514,431.6737912,777.7728532,791.7746335,
42496,HC,heath,13.8,0.077,1.461,175.9964512,321.623977,844.7259848,843.3071704,140.1073251,140.2644293,256.038544,256.3256434,639.3920424,742.5354016,1168.454308,1356.943207,
42510,HC,heath,14.3,0.032,1.461,83.43807499,134.842432,822.2316063,819.3258899,67.62942031,67.78922319,109.294414,109.5526679,73.23269807,536.8613669,118.3497475,867.6098096,
42546,HC,heath,22.8,0.506,1.461,871.9964837,2102.274706,539.2626368,530.4585664,936.3006968,946.6321622,2257.304139,2282.212013,5142.443089,3889.945804,12397.78857,9378.173909,
42475,RC,rice,11.1,0.351,1.362,605.38764,1360.194142,981.3785279,991.7142067,436.0905567,433.0553022,979.8148846,972.9952286,322.6073809,5825.875661,724.8391619,13089.6659,
42482,RC,rice,9.9,0.158,1.362,307.1715752,613.391836,1051.142209,1069.032934,211.3687965,209.0039377,422.082981,417.3605875,348.4626075,3474.520724,695.8460217,6938.280813,
42489,RC,rice,7.8,0.161,1.362,312.1220822,625.000162,1188.224617,1223.420106,197.9214962,194.107174,396.3223823,388.684499,565.9211437,2257.457102,1133.213017,4520.382038,
42496,RC,rice,11.1,0.111,1.362,227.5343831,431.528062,981.3785279,991.7142067,163.9042313,162.7634337,310.8509331,308.6873648,279.3477621,2665.820327,529.7942085,5055.83492,
42510,RC,rice,12.6,0.117,1.362,237.9471368,454.744714,902.1776984,905.1605032,181.2953195,180.8968149,346.4764877,345.7148989,697.9343382,2694.893659,1333.833873,5150.255904,
42546,RC,rice,19,0.175,1.362,335.0463123,679.17235,646.1831,636.9033,318.8858722,321.9758832,646.4135233,652.6772842,2449.439782,4427.41117,4965.259165,8974.804789,
42468,RD,rice,3.6,0.124,1.362,249.9947758,481.830808,1527.40615,1615.818899,134.0896972,129.1526469,258.4395892,248.9240985,4983.314056,961.8024427,9604.657658,1853.742929,
42475,RD,rice,10.5,0.182,1.362,346.4042253,706.258444,1015.519363,1029.435213,243.9075303,241.7044621,497.2853685,492.7936926,2477.170439,2180.394356,5050.523096,4445.447869,
42482,RD,rice,9.6,0.22,1.362,406.9881643,853.29724,1069.525222,1089.557555,276.8355923,273.4318886,580.4174853,573.2812311,10262.47369,2695.095309,21516.44996,5650.575596,
42489,RD,rice,7.3,0.182,1.362,346.4042253,706.258444,1223.869535,1264.026307,215.374326,210.7883508,439.1110883,429.7610761,8266.94894,1744.251006,16854.88244,3556.226834,
42496,RD,rice,11.5,0.115,1.362,234.4853234,447.00583,959.4162875,967.5747375,171.4793285,170.5140429,326.8957666,325.055616,1164.955457,1605.172843,2220.786672,3059.985199,
42510,RD,rice,11.9,0.135,1.362,268.7238445,524.39467,938.0751831,944.2172363,199.4873096,198.6212702,389.2847025,387.594691,2736.170357,2246.931593,5339.433701,4384.720506,
42546,RD,rice,19.5,0.151,1.362,295.5649328,586.305742,630.6408875,621.2665375,285.9119603,288.7808773,567.1573499,572.8483583,2044.111247,2888.980045,4054.859114,5730.80701,
42468,RP,pipe,5.8,0.103,1.362,213.5178275,400.572526,1338.222721,1395.391298,125.078513,121.6384755,234.6549535,228.2012325,1.131844553,11273.16814,2.123409726,21149.15411,
42475,RP,pipe,6.3,0.111,1.362,227.5343831,431.528062,1298.839262,1349.971178,135.9703642,132.5149475,257.8732364,251.3199004,163.6623643,14174.51766,310.3922226,26882.53991,
42482,RP,pipe,7.2,0.083,1.362,177.7210537,323.183686,1231.143603,1272.333914,110.061114,107.6727101,200.1448663,195.8015812,35.85932641,9815.248584,65.20977142,17848.91633,
42489,RP,pipe,7.9,0.178,1.362,339.9221796,690.780676,1181.239075,1215.482952,216.398942,212.3152006,439.7600875,431.4612185,-25.47942565,19417.62022,-51.77860089,39459.96356,
42496,RP,pipe,8.1,0.164,1.362,317.0587709,636.608488,1167.409557,1199.790124,203.4347357,199.7578018,408.4677398,401.0849843,49.32792753,19055.56353,99.04339588,38260.83552,
42510,RP,pipe,9,0.243,1.362,442.8817999,942.294406,1107.4661,1132.1023,294.3303451,290.0446674,626.229928,617.1115356,489.6675866,24721.92296,1041.837862,52599.42883,
42546,RP,pipe,13.7,0.286,1.362,508.6670768,1108.680412,849.3241977,848.2262621,403.4770135,403.8251096,879.4102902,880.1689932,853.2120417,35452.59601,1859.643608,77271.75701,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
